"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
ERCO,"4/4/2026 3 p.m. CDT",52251,52823,52150,-101
ERCO,"4/4/2026 4 p.m. CDT",52382,52523,52222,-159
ERCO,"4/4/2026 5 p.m. CDT",52508,52296,52288,-220
ERCO,"4/4/2026 6 p.m. CDT",52037,52007,51819,-218
ERCO,"4/4/2026 7 p.m. CDT",51327,51201,51115,-212
ERCO,"4/4/2026 8 p.m. CDT",50161,50425,49811,-350
ERCO,"4/4/2026 9 p.m. CDT",50024,50852,49585,-438
ERCO,"4/4/2026 10 p.m. CDT",49373,50106,48995,-377
ERCO,"4/4/2026 11 p.m. CDT",47756,48856,47416,-340
ERCO,"4/5/2026 12 a.m. CDT",45720,47015,45480,-240
ERCO,"4/5/2026 1 a.m. CDT",43816,44710,43675,-140
ERCO,"4/5/2026 2 a.m. CDT",42457,43252,42275,-182
ERCO,"4/5/2026 3 a.m. CDT",41444,42112,41263,-181
ERCO,"4/5/2026 4 a.m. CDT",40757,41480,40571,-186
ERCO,"4/5/2026 5 a.m. CDT",40594,41328,40410,-184
ERCO,"4/5/2026 6 a.m. CDT",40787,41115,40699,-87
ERCO,"4/5/2026 7 a.m. CDT",41487,41417,41517,30
ERCO,"4/5/2026 8 a.m. CDT",42394,42541,42722,328
ERCO,"4/5/2026 9 a.m. CDT",43723,43836,44352,628
ERCO,"4/5/2026 10 a.m. CDT",45129,45053,45777,648
ERCO,"4/5/2026 11 a.m. CDT",45871,45635,46597,725
ERCO,"4/5/2026 12 p.m. CDT",46026,45799,46787,760
ERCO,"4/5/2026 1 p.m. CDT",46095,45815,46854,759
ERCO,"4/5/2026 2 p.m. CDT",45974,45848,46751,776
ERCO,"4/5/2026 3 p.m. CDT",45786,46232,46619,832
ERCO,"4/5/2026 4 p.m. CDT",45667,46649,46501,832
ERCO,"4/5/2026 5 p.m. CDT",45757,47066,46503,747
ERCO,"4/5/2026 6 p.m. CDT",45805,47717,46399,594
ERCO,"4/5/2026 7 p.m. CDT",46029,47806,46573,544
ERCO,"4/5/2026 8 p.m. CDT",46316,47929,46699,384
ERCO,"4/5/2026 9 p.m. CDT",47475,48582,47681,207
ERCO,"4/5/2026 10 p.m. CDT",46878,47733,46817,-61
ERCO,"4/5/2026 11 p.m. CDT",45334,46281,44635,-699
ERCO,"4/6/2026 12 a.m. CDT",43364,44289,42707,-657
